"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","asm:asm","3.1","BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","asm:asm","3.3.1","BSD-3-Clause-INRIA,BSD","","https://mvnrepository.com/artifact/asm/asm"
"java","cglib:cglib","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib"
"java","com.conversantmedia:disruptor","1.2.13","Apache-2.0","","https://mvnrepository.com/artifact/com.conversantmedia/disruptor"
"java","com.fasterxml.jackson.core:jackson-core","2.10.1","Apache-2.0","Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core"
"java","com.google.code.findbugs:jsr305","3.0.2","Apache-2.0","","https://mvnrepository.com/artifact/com.google.code.findbugs/jsr305"
"java","com.google.errorprone:error_prone_annotations","2.2.0","Apache-2.0","","https://mvnrepository.com/artifact/com.google.errorprone/error_prone_annotations"
"java","com.google.guava:failureaccess","1.0","Apache-2.0","","https://mvnrepository.com/artifact/com.google.guava/failureaccess"
"java","com.google.guava:guava","27.0-jre","Apache-2.0","","https://mvnrepository.com/artifact/com.google.guava/guava"
"java","com.google.guava:listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","Apache-2.0","","https://mvnrepository.com/artifact/com.google.guava/listenablefuture"
"java","com.google.j2objc:j2objc-annotations","1.1","Apache-2.0","","https://mvnrepository.com/artifact/com.google.j2objc/j2objc-annotations"
"java","com.googlecode.json-simple:json-simple","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/com.googlecode.json-simple/json-simple"
"java","com.squareup.okhttp3:okhttp","4.9.1","Apache-2.0","Copyright 2019 Square, Inc.","https://mvnrepository.com/artifact/com.squareup.okhttp3/okhttp"
"java","com.squareup.okio:okio","2.8.0","Apache-2.0","Copyright 2013 Square, Inc.","https://mvnrepository.com/artifact/com.squareup.okio/okio"
"java","com.sun.istack:istack-commons-runtime","3.0.7","CDDL-1.1,EDL-1.0","","https://mvnrepository.com/artifact/com.sun.istack/istack-commons-runtime"
"java","com.sun.xml.bind:jaxb-impl","2.2.4","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.fastinfoset:FastInfoset","1.2.15","Apache-2.0","","https://mvnrepository.com/artifact/com.sun.xml.fastinfoset/FastInfoset"
"java","commons-codec:commons-codec","1.6","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-dbcp:commons-dbcp","1.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-dbcp/commons-dbcp"
"java","commons-httpclient:commons-httpclient","3.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io:commons-io","1.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-io/commons-io"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-pool:commons-pool","1.5.4","Apache-2.0","","https://mvnrepository.com/artifact/commons-pool/commons-pool"
"java","csipiemonte:aaepsv-client","3.7.0","Apache-2.0,MIT","CSI Piemonte",""
"java","it.csi.ecogis:geeco-client","2.0.0","Apache-2.0,MIT","CSI Piemonte (codice sorgente rilasciato su richiesta)",""
"java","it.csi.ecogis:geeco-integration-api","1.2.0","Apache-2.0,MIT","CSI Piemonte (codice sorgente rilasciato su richiesta)",""
"java","it.csi.ecogis:gis-util","2.1.0","Apache-2.0,MIT","CSI Piemonte (codice sorgente rilasciato su richiesta)",""
"java","it.csi.util:util-perf","1.0.1","Apache-2.0,MIT","CSI Piemonte (codice sorgente rilasciato su richiesta)",""
"java","it.geosolutions.imageio-ext:imageio-ext-geocore","1.3.2","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.imageio-ext/imageio-ext-geocore"
"java","it.geosolutions.imageio-ext:imageio-ext-streams","1.3.2","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.imageio-ext/imageio-ext-streams"
"java","it.geosolutions.imageio-ext:imageio-ext-tiff","1.3.2","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.imageio-ext/imageio-ext-tiff"
"java","it.geosolutions.imageio-ext:imageio-ext-utilities","1.3.2","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.imageio-ext/imageio-ext-utilities"
"java","it.geosolutions.jaiext.affine:jt-affine","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.affine/jt-affine"
"java","it.geosolutions.jaiext.algebra:jt-algebra","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.algebra/jt-algebra"
"java","it.geosolutions.jaiext.bandcombine:jt-bandcombine","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.bandcombine/jt-bandcombine"
"java","it.geosolutions.jaiext.bandmerge:jt-bandmerge","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.bandmerge/jt-bandmerge"
"java","it.geosolutions.jaiext.bandselect:jt-bandselect","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.bandselect/jt-bandselect"
"java","it.geosolutions.jaiext.binarize:jt-binarize","1.1.17","LGPL","","https://mvnrepository.com/artifact/it.geosolutions.jaiext.binarize/jt-binarize"
