"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/common","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/forms","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/http","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fhttp"
"nodejs","@angular/platform-browser","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","6.1.8","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@fortawesome/fontawesome-free","5.15.1","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffontawesome-free"
"nodejs","@ng-bootstrap/ng-bootstrap","3.3.0","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@types/google.visualization","0.0.43","MIT","Copyrights are respective of each contributor listed at the beginning of each definition file","https://www.npmjs.com/package/%40types%2Fgoogle.visualization"
"nodejs","angular-google-charts","0.1.6","MIT","Copyright (c) 2018 Gabriel Sperrer","https://www.npmjs.com/package/angular-google-charts"
"nodejs","angular2-text-mask","9.0.0","Unlicense","","https://www.npmjs.com/package/angular2-text-mask"
"nodejs","bootstrap","4.5.2","MIT","Copyright (c) 2011-2023 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","chart.js","2.9.4","MIT","Copyright (c) 2014-2022 Chart.js Contributors","https://www.npmjs.com/package/chart.js"
"nodejs","chartjs-color","2.4.1","MIT","Copyright (c) 2012 Heather Arthur","https://www.npmjs.com/package/chartjs-color"
"nodejs","chartjs-color-string","0.6.0","MIT","Copyright (c) 2011 Heather Arthur <fayearthur@gmail.com>","https://www.npmjs.com/package/chartjs-color-string"
"nodejs","color-convert","1.9.3","MIT","Copyright (c) 2011-2016 Heather Arthur <fayearthur@gmail.com>.Copyright (c) 2016-2021 Josh Junon <josh@junon.me>.","https://www.npmjs.com/package/color-convert"
"nodejs","color-name","1.1.3","MIT","Copyright (c) 2015 Dmitry Ivanov","https://www.npmjs.com/package/color-name"
"nodejs","core-js","2.5.7","MIT","Copyright (c) 2014-2023 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","file-saver","2.0.2","MIT","Copyright Copyright 2016 [Eli Grey][1].","https://www.npmjs.com/package/file-saver"
"nodejs","font-awesome","4.7.0","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/font-awesome"
"nodejs","highcharts","8.2.0","MIT-feh","Copyright (c) Highsoft AS. All rights reserved.","https://www.npmjs.com/package/highcharts"
"nodejs","jquery","3.5.1","MIT","Copyright OpenJS Foundation and other contributors, https://openjsf.org/","https://www.npmjs.com/package/jquery"
"nodejs","moment","2.29.1","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment"
"nodejs","ng2-charts","1.6.0","MIT","Copyright (c) 2023 Valor LabsCopyright (c) 2023 Valor SoftwareCopyright (c) 2023 Dmitriy Shekhovtsov<valorkin@gmail.com>","https://www.npmjs.com/package/ng2-charts"
"nodejs","popper.js","1.16.1","MIT","Copyright (c) 2021 Floating UI contributors","https://www.npmjs.com/package/popper.js"
"nodejs","primeicons","1.0.0","MIT","Copyright (c) 2018-2021 PrimeTek","https://www.npmjs.com/package/primeicons"
"nodejs","primeng","6.1.5","MIT","Copyright (c) 2016-2022 PrimeTek","https://www.npmjs.com/package/primeng"
"nodejs","rxjs","6.3.2","Apache-2.0","Copyright (c) 2015-2018 Google, Inc., Netflix, Inc., Microsoft Corp. and contributors","https://www.npmjs.com/package/rxjs"
"nodejs","text-mask-addons","3.8.0","Unlicense","","https://www.npmjs.com/package/text-mask-addons"
"nodejs","text-mask-core","5.1.2","Unlicense","","https://www.npmjs.com/package/text-mask-core"
"nodejs","zone.js","0.8.26","MIT","Copyright (c) 2016-2018 Google, Inc.","https://www.npmjs.com/package/zone.js"
